jeton;issuer
AMUNDI;Amundi
LYXOR;Lyxor
LY;Lyxor
LYX;Lyxor
BNPP;BNP Paribas
BNP;BNP Paribas
OSSIAM;Ossiam
SPDR;SPDR
HSBC;HSBC
VANGUARD;Vanguard
ISHR;iShares
IVZ;Invesco
MULTI;INCONNU
